source,target,step,type,amount,log_amount,is_fraud,balance_diff_orig,balance_diff_dest,orig_account_emptied,edge_id
C1486941069,C1115373254,371,CASH_OUT,96983.64,11.482307894431289,0,0.0,96983.63999999998,0,42
C1254398965,C2026000030,345,CASH_OUT,248541.34,12.423368492299169,0,-11397.0,248541.34,1,43
C128917899,C2124202238,235,CASH_OUT,208523.53,12.247811963180885,0,-5859.0,208523.53,1,44
C946649577,C1883886565,371,CASH_OUT,25475.04,10.145493681595221,0,0.0,25475.040000000037,0,45
C1219713115,C1247955124,375,TRANSFER,1889427.74,14.451785087379633,0,-5077.0,1889427.74,1,46
C559688681,C499362262,17,CASH_OUT,37474.81,10.531450937146817,0,0.0,-5644.829999999987,0,47
C1948583240,C2102090319,261,TRANSFER,18803.48,9.841850418301952,0,0.0,18803.47999999998,0,48
C1605609953,C1422850072,251,TRANSFER,126540.96,11.748329231754303,0,-382.0,126540.95999999996,1,49
C708111642,C1160861871,19,TRANSFER,387011.95,12.866213433984361,0,0.0,538061.4899999998,0,50
C421625983,C47016441,164,CASH_OUT,85584.71,11.35727360894159,0,0.0,85584.71999999999,0,51
C678141394,C560073338,306,CASH_OUT,121919.48,11.711124307920597,0,-121919.48,121919.47999999998,0,52
C241032908,C605184507,375,CASH_OUT,35855.58,10.48728237172425,0,0.0,35855.57999999999,0,53
C1323206304,C1988869265,168,CASH_OUT,341934.31,12.742376846106454,0,0.0,341934.31000000006,0,54
C1648100541,C915749922,161,CASH_OUT,318698.05,12.672002519541243,0,0.0,318698.04000000004,0,55
C28368891,C848655734,209,CASH_OUT,442396.94,12.999965072759892,0,0.0,442396.92999999993,0,56
C1159512693,C903330422,226,TRANSFER,928238.68,13.741045254282938,0,-90179.0,928238.68,1,57
C1102554601,C335271811,190,TRANSFER,10000000.0,16.118095750958314,1,-10000000.0,0.0,0,58
C1430991965,C259079981,331,CASH_OUT,186194.92,12.134554731662371,0,0.0,186194.92000000004,0,59
C1403834480,C1434976223,253,TRANSFER,112805.09,11.633425605950425,0,0.0,16504.669999999984,0,60
C465967898,C1725747125,257,CASH_OUT,226003.59,12.328310587782696,0,-8619.0,226003.59000000003,1,61
C1343122772,C1927466862,162,CASH_OUT,100399.89,11.516926350742308,0,0.0,100399.90000000014,0,62
C2132161410,C2045103115,574,CASH_OUT,298314.06,12.605905455316291,0,0.0,298314.06000000006,0,63
C1567500331,C599243730,142,TRANSFER,658320.08,13.397448054817804,0,0.0,658320.0800000001,0,64
C1936687647,C1621805812,186,CASH_OUT,209253.97,12.251308739563088,0,0.0,209253.96999999974,0,65
C1955348207,C460086051,16,TRANSFER,560887.93,13.237278179163319,0,-163598.87,652718.12,1,66
C1481892464,C1868266376,489,TRANSFER,1189986.88,13.989453680161896,1,-1189986.88,0.0,1,67
C1191770042,C1511668636,214,TRANSFER,291709.9,12.583518522315718,0,0.0,291709.89999999997,0,68
C727398645,C1429941570,15,CASH_OUT,283438.54,12.554754116619605,0,0.0,761108.49,0,69
C982829514,C525823118,211,CASH_OUT,265386.82,12.488947506835418,0,-65545.0,265386.82,1,70
C404132095,C1169030592,47,CASH_OUT,221090.87,12.306333595477485,0,0.0,221090.87,0,71
C421281028,C1294628631,235,CASH_OUT,138060.14,11.835451909502819,0,0.0,138060.13999999998,0,72
C316959977,C1653979134,207,CASH_OUT,88907.0,11.395357406204658,0,-6223.0,88907.0,1,73
C2067870455,C136382449,133,CASH_OUT,139288.34,11.844308631355107,0,0.0,16565.170000000042,0,74
C1129905379,C1507419157,158,TRANSFER,95000.4,11.461646907316197,0,0.0,95000.3999999999,0,75
C1780860622,C1780484526,256,CASH_OUT,135978.7,11.820260888871221,0,-21554.0,135978.69999999998,1,76
C1544892303,C1248108723,162,CASH_OUT,332431.69,12.71419268249487,0,-11437.0,332431.69999999995,1,77
C983578646,C1858458808,228,CASH_OUT,258345.43,12.46205671515653,0,-39504.0,258345.43,1,78
C1301092037,C689641652,284,CASH_OUT,69357.28,11.147040812992389,0,-69357.28,69357.26999999999,0,79
C2135357729,C1493513506,9,TRANSFER,2393274.09,14.688173316405583,0,0.0,2742241.289999999,0,80
C669320709,C684828187,346,CASH_OUT,30633.45,10.329880471677228,0,-30633.45,30633.45,0,81
C1033547177,C582495045,397,CASH_OUT,341447.88,12.740953254254993,0,-63452.0,341447.87,1,82
C679753884,C719200498,399,CASH_OUT,204889.68,12.230231847589756,0,-204889.68,204889.67999999993,0,83
C1047036747,C1481246275,140,CASH_OUT,59360.38,10.991399125549469,0,0.0,59360.380000000005,0,84
C1595839424,C864975981,41,CASH_OUT,172408.98,12.057630524167338,0,0.0,745592.3700000001,0,85
C1445218370,C961129671,212,CASH_OUT,179343.39,12.097063202850357,0,0.0,179343.3999999999,0,86
C24174713,C1393541714,212,CASH_OUT,12539.47,9.436716293548347,0,0.0,12539.47000000067,0,87
C99138597,C4614623,230,CASH_OUT,42508.65,10.657486387962084,0,-1050.0,42508.66,1,88
C1906657631,C1173232379,19,CASH_OUT,34946.47,10.461601355914413,0,-16004.0,34946.45999999999,1,89
C1912330013,C1744479592,329,CASH_OUT,161859.62,11.994490873513135,0,0.0,161859.61000000004,0,90
C1889574757,C2053906986,133,CASH_OUT,49988.78,10.819573863517757,0,-30723.0,49988.779999999795,1,91
C567612137,C1942869575,166,TRANSFER,36575.18,10.507152487842271,0,-36575.18,36575.179999999935,0,92
C1397109374,C2122722188,182,CASH_OUT,89992.8,11.407496058050565,0,-14970.25,89992.80000000005,1,93
C326714114,C953878049,436,TRANSFER,212053.69,12.264599492083287,0,0.0,212053.68999999997,0,94
C1939466421,C850642586,547,TRANSFER,2732915.89,14.820880054641744,0,0.0,2732915.8900000006,0,95
C194929519,C765608216,326,CASH_OUT,63511.08,11.05898540300864,0,-16634.0,63511.07999999996,1,96
C1463960001,C2138476233,17,CASH_OUT,471000.2,13.06261592076601,0,0.0,778447.7699999998,0,97
C90733905,C1153649975,352,CASH_OUT,70830.62,11.168060790150665,0,0.0,70830.62000000011,0,98
C1850261307,C1725364865,354,CASH_OUT,84130.98,11.340142035273264,0,0.0,84130.97999999998,0,99
C2118315952,C1765086127,137,TRANSFER,417217.89,12.941366279127838,1,-417217.89,0.0,1,100
C1848331527,C1457224411,690,CASH_OUT,174576.17,12.07012215782458,0,0.0,174576.16999999993,0,101
C938594796,C403817977,585,TRANSFER,470325.08,13.06118152036118,1,-470325.08,0.0,1,102
C1073140913,C1915287231,283,CASH_OUT,95355.79,11.46538081981985,0,-82742.0,95355.79,1,103
C1041316925,C1519502618,283,CASH_OUT,158543.82,11.973792608351104,0,-21055.0,158543.81000000006,1,104
C2099378331,C1646480899,253,CASH_OUT,284186.64,12.55739000319975,0,0.0,284186.64000000013,0,105
C620728880,C1463315582,614,CASH_OUT,209868.35,12.254240473231288,0,-184251.0,209868.33999999997,1,106
C89857054,C320510103,188,CASH_OUT,266691.54,12.493851738275334,0,0.0,541763.9099999999,0,107
C74803709,C1044883791,177,CASH_OUT,97302.91,11.485594452361562,0,-97302.91,97302.91000000003,0,108
C93640733,C1861692583,213,CASH_OUT,25262.44,10.137113570321953,0,0.0,25262.439999999944,0,109
C728230447,C1443247606,261,CASH_OUT,7169.29,8.877701379079781,0,-7169.290000000008,7169.290000000001,0,110
C207651945,C412846140,161,CASH_OUT,112338.78,11.629283307743755,0,0.0,112338.78000000003,0,111
C1192271593,C1382125071,17,CASH_OUT,360654.29,12.795677905784872,0,0.0,3828.8800000000047,0,112
C1423083266,C1142133802,393,CASH_OUT,9372.17,9.145606631784611,0,0.0,9372.169999999998,0,113
C625716877,C1238374130,153,CASH_OUT,64726.74,11.077945136670808,0,0.0,64726.74000000022,0,114
C1613185723,C280997384,234,TRANSFER,971056.68,13.786141148186845,0,0.0,971056.6799999997,0,115
C1833611907,C1790208977,260,CASH_OUT,3575.72,8.182201458308647,0,-3575.7200000000003,109573.20000000001,0,116
C986304573,C698305964,372,TRANSFER,238840.97,12.383557398826545,0,0.0,238840.9700000002,0,117
C278765825,C1451167675,211,CASH_OUT,12931.91,9.46753050444879,0,0.0,12931.909999999989,0,118
C1255705593,C414958387,15,CASH_OUT,253935.73,12.444840420483299,0,-62405.0,253935.7300000001,1,119
C726676057,C39230769,394,TRANSFER,686146.96,13.438848568582523,0,-49808.0,686146.95,1,120
C1851761970,C628361977,357,CASH_OUT,141416.05,11.85946860509057,0,-42750.0,141416.03999999992,1,121
C701712936,C704752055,586,CASH_OUT,10000000.0,16.118095750958314,1,-10000000.0,10000000.0,1,122
C918938070,C1214294579,380,TRANSFER,191851.17,12.164480406531121,0,-191851.16,191851.17000000004,0,123
C1157031751,C286954041,225,TRANSFER,223447.16,12.31693471982333,0,-198.0,223447.17000000004,1,124
C891429666,C1991090296,378,TRANSFER,170754.36,12.047987167862752,0,-170.0,170754.36,1,125
C456432366,C576013702,354,TRANSFER,46674.19,10.750968039103299,0,-4242.0,46674.19000000018,1,126
C2109728098,C501871009,308,CASH_OUT,146731.5,11.896366480153551,0,-5558.0,146731.5,1,127
C2106423722,C1001298017,403,CASH_OUT,260775.99,12.471420876614662,0,0.0,260775.99000000005,0,128
C107872369,C1935541289,119,CASH_OUT,392638.84,12.880648033006638,0,0.0,392638.8500000001,0,129
C1586066494,C769507769,235,CASH_OUT,506309.7,13.134905791449876,0,0.0,506309.7000000002,0,130
C1747320660,C1075564985,11,CASH_OUT,368826.54,12.818084442496955,0,-11405.0,637396.4300000006,1,131
C1521016184,C2113426627,307,CASH_OUT,300303.79,12.612553204560161,0,-5515.0,420047.5499999998,1,132
C764149935,C984677901,324,TRANSFER,291981.32,12.584448531472113,0,0.0,291981.31999999844,0,133
C2025416983,C405720778,327,TRANSFER,6686322.75,15.71557476686585,0,0.0,6686322.75,0,134
C2080981258,C425286247,44,CASH_OUT,124095.5,11.728814767732938,0,0.0,534964.54,0,135
C1059886276,C4683520,34,CASH_OUT,673243.67,13.419864093821118,0,-19905.0,857153.1999999997,1,136
C263375158,C981765041,393,TRANSFER,1359879.52,14.122907400911762,0,0.0,1359879.5199999998,0,137
C1505967376,C446692624,162,CASH_OUT,38271.96,10.552498920607755,0,-38271.96,38271.95999999996,0,138
C1004337054,C330972565,370,CASH_OUT,106502.81,11.575936038139607,0,-106502.81,106502.81,0,139
C1396937180,C231206010,15,TRANSFER,298373.78,12.60610562631367,0,0.0,298373.77999999997,0,140
C1680991013,C175422528,252,TRANSFER,877869.94,13.685254868646412,0,-68089.0,877869.94,1,141
C1046817432,C1268772624,329,CASH_OUT,77732.41,11.261040431067752,0,-77732.40999999997,77732.40000000002,0,142
C1900827496,C474308528,374,CASH_OUT,348524.89,12.76146779623685,0,-226.0,348524.9,1,143
C945029298,C933066669,356,CASH_OUT,369672.98,12.82037676105752,0,0.0,369672.9700000002,0,144
C228872606,C1259079602,544,CASH_OUT,190852.45,12.159261135033828,0,0.0,190852.43999999994,0,145
C1134140965,C47726456,330,CASH_OUT,64183.85,11.069522480521671,0,-64183.84,64183.85000000056,0,146
C567923384,C943128921,17,CASH_OUT,201800.44,12.215039522654184,0,0.0,11146397.600000001,0,147
C1623080839,C466943083,157,TRANSFER,1273828.94,14.057538621117976,0,-37323.0,1273828.94,1,148
C76139984,C1763522777,181,CASH_OUT,160759.5,11.987670958784726,0,-10830.0,160759.5,1,149
C542798148,C1215249622,231,TRANSFER,1940169.54,14.478286434392393,0,-21518.0,1940169.54,1,150
C1601929585,C2130608416,352,CASH_OUT,97787.53,11.490562568981453,0,-97787.53,97787.53000000003,0,151
C275704306,C1794243342,160,CASH_OUT,196812.52,12.1900119604276,0,0.0,196812.51999999996,0,152
C633523048,C824562213,180,CASH_OUT,44404.46,10.701117713832733,0,0.0,44404.45999999999,0,153
C1431962729,C233609651,20,TRANSFER,78347.09,11.268916869695065,0,0.0,7708.72000000003,0,154
C865099324,C1895897048,420,CASH_OUT,341956.42,12.742441505369634,1,-341956.42,341956.41000000015,1,155
C2117276168,C530643900,332,CASH_OUT,142564.85,11.867559277216245,0,-20392.0,142564.84999999998,1,156
C1493788791,C861958315,8,TRANSFER,346489.68,12.755611199703452,0,-181318.01,67133.87000000005,1,157
C50388415,C247364030,325,CASH_OUT,275376.22,12.525897145806148,0,-843.0,275376.2200000002,1,158
C300118688,C155439298,202,CASH_OUT,259453.75,12.466337592587442,0,0.0,259453.7399999993,0,159
C871705771,C1106003753,179,CASH_OUT,227927.63,12.336787832617825,0,0.0,227927.6299999999,0,160
C1298615751,C1404546423,252,CASH_OUT,197289.49,12.192432490139435,0,-108323.0,197289.49,1,161
C908331115,C1698939394,273,CASH_OUT,43738.54,10.68600777748593,0,-43738.54,43738.54,0,162
C1016361928,C2063325776,234,CASH_OUT,121037.07,11.70386040319301,0,-231.0,121037.07,1,163
C577082707,C935245353,330,CASH_OUT,242413.97,12.398406288696128,0,-42013.32,242413.95999999996,1,164
C1449923306,C1391866493,182,CASH_OUT,295944.19,12.597929547241398,0,-31131.0,295944.19,1,165
C99194125,C666031567,139,CASH_OUT,92009.59,11.429658958102332,0,-92009.59,92009.6000000001,0,166
C459919013,C103417542,376,TRANSFER,267390.77,12.496470165315449,0,-150355.0,267390.78,1,167
C2090394431,C811722682,209,CASH_OUT,200106.54,12.206610201021329,0,0.0,200106.54000000004,0,168
C674520216,C605171952,300,CASH_OUT,383295.32,12.856563650487702,0,-4870.0,383295.32,1,169
C2041347822,C275585551,300,CASH_OUT,331572.21,12.711603908871016,0,0.0,331572.20999999996,0,170
C1710708057,C820260918,162,CASH_OUT,16481.19,9.710035682984103,0,-6294.0,16481.190000000002,1,171
C2046465313,C1929273714,190,CASH_OUT,265747.73,12.490306517265212,1,-265747.73,265747.73,1,172
C1845291874,C1185117572,274,CASH_OUT,299728.44,12.610635480045248,0,-20993.0,299728.44,1,173
C141468315,C713364117,159,CASH_OUT,248866.74,12.42467686967029,0,0.0,248866.74,0,174
C2105536285,C1501107724,37,TRANSFER,1859924.94,14.436047227692358,0,0.0,1859924.9399999976,0,175
C642174256,C792081053,351,CASH_OUT,228170.66,12.337853519390357,0,-12402.0,228170.66,1,176
C1181794457,C1586670553,303,CASH_OUT,89421.35,11.401125929916812,0,-21276.0,89421.3500000001,1,177
C1789061734,C1108249143,210,CASH_OUT,209776.3,12.253801770806398,0,-102367.0,209776.30000000005,1,178
C1727726493,C1598040187,235,CASH_OUT,53998.37,10.896727658811688,0,-53998.369999999995,53998.37000000011,0,179
C1162543204,C94701398,301,CASH_OUT,29538.31,10.293477197654136,0,0.0,29538.310000000005,0,180
C415664976,C811211458,286,CASH_OUT,296714.68,12.600529652877114,0,0.0,296714.68000000005,0,181
C1715700381,C729910941,159,TRANSFER,430287.49,12.972211169689015,0,0.0,430287.48999999976,0,182
C1492376141,C1830773917,335,CASH_OUT,48968.1,10.798944765928333,0,0.0,48968.10000000009,0,183
C1644417517,C552647336,234,CASH_OUT,184376.04,12.124738070421792,0,-138495.0,184376.04000000004,1,184
C609047537,C369292155,276,TRANSFER,629277.76,13.35232961715772,0,0.0,629277.7600000002,0,185
C1838793762,C1217261737,379,TRANSFER,545803.54,13.210016205287006,0,-10270.0,545803.54,1,186
C144660464,C1350521804,207,CASH_OUT,49330.03,10.80630857379898,0,-4038.0,49330.03,1,187
C1936211970,C764496778,252,TRANSFER,1554857.04,14.256894806823546,0,-29745.0,1554857.04,1,188
C378164444,C2052029116,233,CASH_OUT,338572.49,12.73249645264506,0,-51433.0,338572.48000000004,1,189
C1605316780,C1428888556,185,CASH_OUT,342572.93,12.74424276740589,0,-9266.0,342572.93,1,190
C2116309215,C16862054,42,CASH_OUT,192845.03,12.169647377476853,0,-11908.0,131731.06000000006,1,191
C679225103,C1718072927,20,CASH_OUT,86653.34,11.36968238044457,0,-24183.0,86653.34,1,192
C325585776,C1436007391,20,CASH_OUT,152632.61,11.935795622598278,0,0.0,152632.6099999994,0,193
C1394126775,C571935104,133,CASH_OUT,26700.21,10.192464161713556,0,-26700.219999999972,26700.21,0,194
C1952667624,C110573353,302,CASH_OUT,186960.87,12.138659971302214,0,-690.0,186960.87,1,195
C1339605832,C129415411,379,TRANSFER,2094849.39,14.554992695900525,0,0.0,2094849.3900000001,0,196
C1285282923,C1047383423,259,CASH_OUT,14272.07,9.566129823982626,0,-3803.0,14272.070000000007,1,197
C1502226714,C1316283290,205,CASH_OUT,320612.14,12.677990503969603,0,0.0,320612.14000000013,0,198
C798890205,C1419755928,185,CASH_OUT,350545.55,12.76724878690932,0,0.0,350545.56,0,199
C1422832306,C1851576306,35,CASH_OUT,436846.99,12.987340564593989,0,0.0,436846.99,0,200
C568357840,C675906977,303,CASH_OUT,569728.52,13.252917000871701,0,0.0,569728.5300000003,0,201
C1874170575,C425505782,134,CASH_OUT,301271.25,12.615769619980728,0,-286.0,301271.25,1,202
C1587199648,C926833158,155,CASH_OUT,342598.54,12.744317522197584,0,0.0,567770.8999999994,0,203
C1659740115,C1931451243,135,TRANSFER,857896.89,13.662240362063919,0,-549757.0,857896.8899999999,1,204
C2002642700,C1861737502,326,CASH_OUT,553408.03,13.223852663513004,0,-40635.0,553408.03,1,205
C1354183593,C1544298002,333,CASH_OUT,207514.65,12.242962037495564,0,0.0,207514.6499999999,0,206
C832362188,C862019106,137,CASH_OUT,121400.13,11.706855465636703,0,-55383.0,121400.12000000011,1,207
C322280417,C927133401,322,CASH_OUT,94772.48,11.459244902271225,0,-94772.48000000001,298677.82,0,208
C1963897433,C59883011,137,CASH_OUT,128538.56,11.763991995860449,0,-128538.56,128538.56,0,209
C1611941738,C1924932052,36,TRANSFER,366440.26,12.81159351461248,0,-5009.0,366440.26,1,210
C815450248,C1382520845,17,CASH_OUT,136918.73,11.827150120687751,0,0.0,136918.73000000004,0,211
C1528470832,C2027517041,284,CASH_OUT,79131.21,11.278875276938123,0,-13597.58,79131.20999999996,1,212
C1256295397,C1738610409,694,CASH_OUT,490248.56,13.102669846556916,0,-6320.45,490248.55999999866,1,213
C1496240755,C1000574865,162,CASH_OUT,95872.86,11.470788648116466,0,0.0,95872.87,0,214
C1140007764,C160933819,36,CASH_OUT,23009.8,10.04371894991743,0,-23009.79999999999,23009.809999999998,0,215
C288318806,C802998686,305,CASH_OUT,207908.89,12.244860043662214,0,0.0,207908.89,0,216
C1959723808,C293857006,164,CASH_OUT,328146.84,12.701219517524574,0,-30384.0,328146.83999999997,1,217
C1370976321,C559135515,210,CASH_OUT,96875.41,11.481191321388437,0,0.0,96875.40999999999,0,218
C1684741342,C571942943,10,CASH_OUT,48511.84,10.789583784155566,0,-48511.84,-364479.48,0,219
C847645948,C269162612,171,TRANSFER,1777674.32,14.390817068707019,1,-1777674.32,0.0,1,220
C689240273,C1677508784,187,CASH_OUT,65831.2,11.094864359317148,0,0.0,65831.19999999995,0,221
C1635634198,C130197709,15,CASH_OUT,46520.24,10.747664261479422,0,-16433.0,46520.229999999516,1,222
C1171521068,C334409750,283,CASH_OUT,64206.18,11.06987032143088,0,-64206.18,64206.18,0,223
C1237104237,C1538882286,256,CASH_OUT,275649.17,12.526887840741747,0,-590.0,275649.1799999997,1,224
C506713060,C459857341,260,CASH_OUT,98147.33,11.494235184786548,0,0.0,98147.33000000007,0,225
C268292980,C1257189114,140,CASH_OUT,46723.45,10.75202286125395,0,-46723.45,46723.44000000006,0,226
C1739048399,C693130422,185,CASH_OUT,44860.23,10.71132922633407,0,0.0,44860.229999999516,0,227
C1729493588,C929527734,297,CASH_OUT,350420.89,12.766893107554301,0,-4910.0,350420.88999999873,1,228
C1806831840,C1891872483,371,CASH_OUT,159471.39,11.97962608277463,0,-9192.48,159471.39,1,229
C753801834,C2142067910,228,CASH_OUT,383741.97,12.857728258497504,0,-10314.0,383741.97,1,230
C527796067,C682047102,520,CASH_OUT,111640.87,11.623051437778695,0,0.0,111640.86999999918,0,231
C45932661,C1000578183,255,CASH_OUT,32528.68,10.389908182345541,0,-32528.68,32528.680000000168,0,232
C732902844,C419620565,201,CASH_OUT,29947.94,10.307249210596739,0,0.0,29947.94000000041,0,233
C1256124738,C591925617,327,CASH_OUT,332934.1,12.715702855073207,0,-85490.0,332934.1,1,234
C48092300,C748313400,134,CASH_OUT,26297.94,10.177283913171111,0,-26297.940000000002,10792.78,0,235
C453369123,C1460444157,20,CASH_OUT,229417.52,12.343303212763976,0,-16770.0,334847.21,1,236
C1896297153,C9383664,156,TRANSFER,716945.13,13.482755984262656,0,0.0,716945.1299999999,0,237
C712819095,C1977608916,355,CASH_OUT,507122.81,13.136510453944496,0,0.0,507122.80999999994,0,238
C1698748760,C1961345408,155,CASH_OUT,65889.96,11.09575653353917,0,0.0,65889.94999999995,0,239
C128418662,C657621819,211,CASH_OUT,31419.05,10.35520150315144,0,-289.0,31419.05,1,240
C1336867753,C1658545652,305,CASH_OUT,182482.91,12.114417283734413,0,-42013.0,182482.91,1,241
C766192137,C2014085277,16,CASH_OUT,146509.02,11.894849101004803,0,-13595.0,-44113.78,1,242
C1289566049,C896789106,18,TRANSFER,54878.11,10.9128880450671,0,-54878.11,54878.11,0,243
C1467205377,C204286137,563,CASH_OUT,358937.67,12.790906817221748,0,-13807.0,358937.67,1,244
C1917890217,C1979987954,311,TRANSFER,755118.21,13.534630909806944,0,-69010.0,755118.21,1,245
C1372422681,C781804768,347,CASH_OUT,18229.58,9.810855682855026,0,-18229.58,18229.589999999967,0,246
C347703668,C144495933,330,CASH_OUT,198297.03,12.197526380015777,0,-4636.0,198297.03,1,247
C870439423,C1899385275,183,CASH_OUT,142535.26,11.86735170246272,0,-105876.0,142535.25999999978,1,248
C874410949,C159770766,355,CASH_OUT,143943.6,11.877183782311334,0,0.0,143943.61,0,249
C645310726,C372189205,349,CASH_OUT,55008.09,10.915253723285849,0,-23960.21,55008.080000000075,1,250
C1659569966,C1072956803,441,CASH_OUT,1032168.79,13.847173736684658,1,-1032168.79,1032168.78,1,251
C585615560,C851924462,695,CASH_OUT,238962.29,12.384065220789857,0,0.0,238962.29000000004,0,252
C347639369,C1600538355,594,CASH_OUT,152422.69,11.934419356348402,0,-13077.0,152422.69999999995,1,253
C773834483,C633873546,212,CASH_OUT,129493.03,11.771390058672974,0,-27940.0,129493.03,1,254
C659146121,C1400005693,234,CASH_OUT,211145.38,12.260306916004849,0,-211145.38,289028.1900000002,0,255
C1286949732,C48357483,307,CASH_OUT,328661.9,12.702787884404744,0,-246684.0,328661.8999999999,1,256
C1889183759,C762791367,379,CASH_OUT,12015.25,9.394015179380025,0,0.0,12015.25,0,257
C798321415,C1968907251,326,CASH_OUT,233787.29,12.362171241222583,0,0.0,233787.29000000004,0,258
C1774735575,C290582423,354,CASH_OUT,64422.01,11.073226146413312,0,-21520.0,64422.009999999995,1,259
C818295463,C887987119,130,CASH_OUT,252688.69,12.43991749317713,0,0.0,252688.68999999994,0,260
C852287760,C62898466,209,TRANSFER,313416.84,12.655292531342656,0,-14148.0,313416.84,1,261
C516969543,C2034859520,699,TRANSFER,148714.54,11.909790632704112,1,-148714.54,0.0,1,262
C22475331,C191178784,404,TRANSFER,276907.08,12.53144088894278,0,-1259.0,517225.48999999976,1,263
C1493167568,C784681106,36,CASH_OUT,393962.59,12.884013772842383,0,0.0,393962.58999999997,0,264
C932545281,C1240550435,303,CASH_OUT,179220.02,12.096375071751108,0,0.0,179220.02000000002,0,265
